id,short_desc,severity,failure_impact_type,action_urgency_type
38478,getters/setters: no warning of duplicate methods,normal,user-facing bug,needs attention soon
235021,"[formatter][preferences] ""Use tabs only for leading indentations"" confusing",minor,user-facing bug,needs attention soon
66774,Cold-folding ellipses appear at the end of every import statement,normal,user-facing bug,needs attention soon
34825,Ant Task tree does not refresh after edit and save.,minor,user-facing bug,needs attention soon
37746,Add compare with->menu in package explorer,enhancement,non-critical feature request,can wait (low urgency)
194627,[process] Stopping a debugg session causes all user processes to terminate,major,user-facing bug,needs attention soon
267138,CCombo popup doesn't scroll with CCombo,major,user-facing bug,needs attention soon
220233,Visual 2005 error parser seems to not work.,normal,user-facing bug,needs attention soon
56705,Details pane problem (build M8),normal,user-facing bug,needs attention soon
47583,CVS commit should run in background,enhancement,non-critical feature request,can wait (low urgency)
18795,Extension point for Java decompiler,enhancement,non-critical feature request,can wait (low urgency)
50343,"Java doc does not appear, no source attached",major,user-facing bug,needs attention soon
184605,InvalidThreadAccess in Manifest editor when reacting to model changes,normal,user-facing bug,needs attention soon
31173,[Linked Resources] Specifying file to link could prime the filename to be created,enhancement,non-critical feature request,can wait (low urgency)
8746,Threads showing as suspended when not -- multithreaded app,normal,user-facing bug,needs attention soon
27279,[Keybindings] accelerators don't work on all platforms,critical,system failure / crash,immediate action required
23290,Default JFaceResource fonts need to be updated,normal,user-facing bug,needs attention soon
39849,Unreachable code not detected,normal,user-facing bug,needs attention soon
224279,[concurrency] Query objects in debug view model should call RequestMonitor.done() even when canceled.,minor,user-facing bug,needs attention soon
214724,[Commands] Conflict for 'org.eclipse.team.ui.synchronizeAll' and 'synchronizeLast',normal,user-facing bug,needs attention soon
213700,Eclipse Formatter needs to provide a mechanism to IGNORE line wrapping,enhancement,non-critical feature request,can wait (low urgency)
236341,NPE in AnnotationPainter when using SourceView with no TextEditor,normal,system failure / crash,immediate action required
241002,"Support ""Smart Caret Positioning"" in fields with IDs and Java identifiers",enhancement,non-critical feature request,can wait (low urgency)
195633,CVS team information and CVS directories disappear,normal,user-facing bug,needs attention soon
296018,Allow activating cell editors using the keyboard in variables views.,enhancement,non-critical feature request,can wait (low urgency)
17965,Dav: Poor error handling on folder creation,normal,user-facing bug,needs attention soon
48177,Code formatter preference page: Line wrapping policy should propose No wrapping,normal,user-facing bug,needs attention soon
253086,no error on trailing comma in multi valued element in annotation,normal,user-facing bug,needs attention soon
200573,"[KeyBindings] Keybinding for ""Show History"" doesn't work",normal,user-facing bug,needs attention soon
232197,"Eclipse slows down, itself and system",normal,user-facing bug,needs attention soon
75828,Recursively refresh tags in the event of missing or undefined refresh files,normal,user-facing bug,needs attention soon
7463,Search for implementors fails,normal,user-facing bug,needs attention soon
93252,problem with displaying kannada text,major,user-facing bug,needs attention soon
40138,Incorrect dialog titles for adding / editing tasks / types,normal,user-facing bug,needs attention soon
22651,[Wizards] Font default values for Banner Text/Header Text are swapped,major,user-facing bug,needs attention soon
17821,[Perspectives] Customize Perspective should give visual indication,enhancement,non-critical feature request,can wait (low urgency)
25508,JavaDOC code assist doesn't recognize imports when commenting class,major,user-facing bug,needs attention soon
296819,"Remove use of the word ""profile"" to mean baseline",trivial,non-critical feature request,can wait (low urgency)
35125,"[RC2] ""New->Java->JUnit Test Case"" throws exception",blocker,system failure / crash,immediate action required
7723,Eclipse doesn't fire a Focus Lost event at closing,normal,user-facing bug,needs attention soon
39771,[Live Sync View] Prompt to overwrite should show compare decorator,enhancement,non-critical feature request,can wait (low urgency)
69984,[code assist][preference] Info dialog when using code assist in an editor of a Java file not in a Java project,minor,user-facing bug,needs attention soon
76118,C++ working set members do not persist after they are closed,normal,user-facing bug,needs attention soon
201381,[Undo] Disable undo for resource opperations,enhancement,non-critical feature request,can wait (low urgency)
76523,[Perspectives] [RCP] Provide API to re-layout a perspective,normal,non-critical feature request,can wait (low urgency)
79715,Allow federated search,enhancement,non-critical feature request,can wait (low urgency)
120382,False access restriction warnings,normal,user-facing bug,needs attention soon
229812,[number format detail] Number format detail pane calls a service on a backgroun thread.,major,user-facing bug,needs attention soon
120269,[refactoring] Preview filter combo: selecting an item does not update preview,normal,user-facing bug,needs attention soon
70207,Compare to Head shows Ignored Resources,normal,user-facing bug,needs attention soon
61326,Import features from binary does not put the feature in the workspace folder,normal,user-facing bug,needs attention soon
42403,"Position of ""synchronized"" and ""override/implement"" icons [render]",enhancement,non-critical feature request,can wait (low urgency)
237296,Code Template Editor causes Loop and GUI Freeze on W2K,normal,system failure / crash,immediate action required
72736,[Refactoring] Rename does not check if the scanner is properly configured,normal,user-facing bug,needs attention soon
124973,Problem with Browser removeProgressListener,normal,user-facing bug,needs attention soon
50008,Hide Application Doesn't work,minor,user-facing bug,needs attention soon
95533,Does not highlight currentLine while debugging,critical,system failure / crash,immediate action required
158526,[search] NPE in JavaSearchScope.addEnclosingProjectOrJar(..),normal,system failure / crash,immediate action required
190444,ANT: Using Import function to import a macro breaks some ant editor functionality,normal,user-facing bug,needs attention soon
22233,[Import/Export] Bad message in Import dialog,normal,user-facing bug,needs attention soon
26669,[Editor Mgmt] Add action for maximize/restore current window functionality,enhancement,non-critical feature request,can wait (low urgency)
52003,[Preferences] Main Workbench Pref Page - Keep/next ... no mnemonic,normal,user-facing bug,needs attention soon
11069,Prompting for saving a dirty shared editor inconsistent,normal,user-facing bug,needs attention soon
139697,[JUnit] the number of history items is not correct,trivial,non-critical feature request,can wait (low urgency)
82926,"[EditorMgmt] Ability to ""Pin Editor"" in ""Switch to Editor"" dialog",enhancement,non-critical feature request,can wait (low urgency)
233187,[javadoc] partially qualified inner types  should be warned,minor,user-facing bug,needs attention soon
85352,Self-hosted workspace not picking up product information,major,user-facing bug,needs attention soon
158139,Show inherited members in Outline view,enhancement,non-critical feature request,can wait (low urgency)
168738,ProgressBar does not respect user-defined foreground colors.,major,user-facing bug,needs attention soon
103810,[WorkbenchParts] Sites should release their part after part is disposed,normal,user-facing bug,needs attention soon
41403,Alt Key Does Not Work,major,user-facing bug,needs attention soon
189243,Display the element values of STL containers - at debug time,enhancement,non-critical feature request,can wait (low urgency)
52106,[Wizards] Project creation wizard; existing project; should disable next,enhancement,non-critical feature request,can wait (low urgency)
119109,KeyEvent.doit does not work for a CCombo,normal,user-facing bug,needs attention soon
20283,Emacs keybindings for content assist and parameter info don't work,critical,system failure / crash,immediate action required
91153,[Contributions] Add Actionset only to specified Perspective,enhancement,non-critical feature request,can wait (low urgency)
105942,[1.5][search] search for method declaration does not find overriding with non-matching type variable name,normal,user-facing bug,needs attention soon
62681,Painting cheese in Forms package,normal,user-facing bug,needs attention soon
12279,Java warning and error markers obscure each other,normal,user-facing bug,needs attention soon
51988,[Accessibility] JAWS does not read Eclipse custom tooltips,normal,user-facing bug,needs attention soon
137330,[Commands] remove experimental keys preference page for 3.2,normal,user-facing bug,needs attention soon
30830,StackOverflow on HCR from VariablesView,normal,user-facing bug,needs attention soon
15926,Problems with default JRE and running JRE do not match,normal,user-facing bug,needs attention soon
63600,"Wizard based implementation of equals(), hashcode() and toString() methods in any Java Class.",enhancement,non-critical feature request,can wait (low urgency)
198979,copy address context menu enhancement,enhancement,non-critical feature request,can wait (low urgency)
29592,Add Methods/Layout Menu [render],enhancement,non-critical feature request,can wait (low urgency)
25796,Update to root 1.0.1 does not diable efix,critical,system failure / crash,immediate action required
63521,"Missing configuration option: tab width=8, indent width=4",minor,user-facing bug,needs attention soon
42899,Search: cannot find beyond function body,major,user-facing bug,needs attention soon
51022,Problem with Long,normal,user-facing bug,needs attention soon
178753,Cannot do anything in Run/Debug>Launching>Default Launcher preference page,normal,user-facing bug,needs attention soon
208387,Error message at build startup,normal,user-facing bug,needs attention soon
123111,"Request to create test.xml for each of osgi, runtime and resources test plug-ins",normal,user-facing bug,needs attention soon
11021,add method feature,enhancement,non-critical feature request,can wait (low urgency)
61248,[Workbench] Exceptions on startup in the presentation code will result in a phantom window,major,user-facing bug,needs attention soon
91196,cvs pserver to local gets connection reset by peer,normal,user-facing bug,needs attention soon
23666,copy and pasting types [ccp],enhancement,non-critical feature request,can wait (low urgency)
273349,Generated SimpleMail app shows duplicate features,normal,user-facing bug,needs attention soon
17244,Search Menu - &File and Re&ferences mnemonics clash,minor,user-facing bug,needs attention soon
208433,Launch from Run/Debug settings dialog,enhancement,non-critical feature request,can wait (low urgency)
287028,ErrorDialog with null as Shell crashes,normal,system failure / crash,immediate action required
59339,[Workbench] NPE on shutdown while saving state,critical,system failure / crash,immediate action required
48809,[browser] breaking change - rename LocationEvent.cancel to LocationEvent.doit and reverse boolean meaning,normal,user-facing bug,needs attention soon
146040,"[Workbench] Incomplete schema doc for filesystemSupport, markerImageProviders, markerSupport",normal,user-facing bug,needs attention soon
153242,[misc] Must correctly deprecate org.eclipse.jdt.ui.javadocCompletionProcessor,normal,user-facing bug,needs attention soon
127641,[build path] new java project wizard: help issues,normal,user-facing bug,needs attention soon
274772,lrparser.xlc.ui.preferences they are everywhere,critical,system failure / crash,immediate action required
44170,ITypeHierarchy#getImplementingClasses bug?,normal,user-facing bug,needs attention soon
77548,[Encodings] Cannot open the project's preferences page when running on a 1.5 VM,major,user-facing bug,needs attention soon
50018,update class path  should prompt to save the plugin.xml,minor,user-facing bug,needs attention soon
38427,[breakpoints] class breakpoints - useful new feature,enhancement,non-critical feature request,can wait (low urgency)
308753,[psf] new feature :: be able to spec a custom location to place the download project,enhancement,non-critical feature request,can wait (low urgency)
214522,[Viewers] ComboViewer#insert() silently modifies the selected value,major,user-facing bug,needs attention soon
37761,[content assist][key binding] Up/down key binding should also be honored in code assist,normal,user-facing bug,needs attention soon
28300,[Team Core] Team may not need delta listener,normal,user-facing bug,needs attention soon
9701,NS4: Status line should show topic label,normal,user-facing bug,needs attention soon
100218,unecessary cast in case of boxing,normal,user-facing bug,needs attention soon
48089,[ActivityMgMt] Folders created on an IPageLayout should only be visible if they contain non-placeholder views,normal,user-facing bug,needs attention soon
99981,[WorkbenchParts] Toolbar buttons overlap view subtitle when SWT XP manifest used,normal,user-facing bug,needs attention soon
45714,[CVS UI] Add to CVS Version Control details are not sorted,normal,user-facing bug,needs attention soon
122914,[formatter] Formating java file breaks NLS (//$NON-NLS-1$) comments,normal,user-facing bug,needs attention soon
58220,Unable to remove all error parsers,normal,user-facing bug,needs attention soon
277307,3.5RC1 crashes during build with jdk1.6,major,system failure / crash,immediate action required
28511,java build path: javadoc location specyfying has incostistent explanation,normal,user-facing bug,needs attention soon
71262,Combo boxes ignoring visible item count,normal,user-facing bug,needs attention soon
61224,Parsing Exception during startup,normal,user-facing bug,needs attention soon
202675,Help context with empty description causes NPE,normal,system failure / crash,immediate action required
240397,DVT34: broken link in documentation,minor,non-critical feature request,can wait (low urgency)
312459,Loading browser instance delayed after bug fix 295483,normal,user-facing bug,needs attention soon
43263,cannot programmatically retrieve all text from console,normal,user-facing bug,needs attention soon
128122,Poor error messages which are not logged,normal,user-facing bug,needs attention soon
243809,Incremental build problem with fix for bug 229697,normal,user-facing bug,needs attention soon
69335,[UIForms] Bug/typo in TableWrapLayout,normal,non-critical feature request,can wait (low urgency)
65987,"[Intro] Welcome testing - ""Action not implemented"".",major,user-facing bug,needs attention soon
33167,[DND] Poor support for drag and drop between Eclipse and Linux,normal,user-facing bug,needs attention soon
59378,"[Workbench] 3.0 plug-ins have percents, missing, or incorrect names and version info",normal,user-facing bug,needs attention soon
18896,Need protection in launch configurations,normal,user-facing bug,needs attention soon
94085,Thread receive warning with valid usage!,trivial,non-critical feature request,can wait (low urgency)
157091,should adopt ICU Collator and use new APIs on StructuredViewer,normal,non-critical feature request,can wait (low urgency)
125652,[CommonNavigator] Default filter activations causes failure in OpenTest,normal,user-facing bug,needs attention soon
93105,Remove unnecessary APIs on BindingKey,normal,user-facing bug,needs attention soon
209196,Unused locals in compiler logs for N20071108-0010,normal,user-facing bug,needs attention soon
104225,[CellEditors] Using Viewer for ComboBoxCellEditor,enhancement,non-critical feature request,can wait (low urgency)
23663,[ExternalTools] Color in Log Console incorrect when showing output of selected element,normal,user-facing bug,needs attention soon
172586,Need a way to specify user defined platform properties,normal,non-critical feature request,can wait (low urgency)
5313,Message not clear and workspace does not start up if plug-in does not have version number,normal,user-facing bug,needs attention soon
225440,"MenuDetect events sent with (0, 0) coordinates",normal,user-facing bug,needs attention soon
27154,[Tasks] task list filter - 'limit visible items to' seems to make no sense,normal,user-facing bug,needs attention soon
22976,DCR - warning for unused declarations of thrown exceptions,enhancement,non-critical feature request,can wait (low urgency)
82828,Table's SWT.FULL_SELECTION broken for empty table items,major,user-facing bug,needs attention soon
84088,[registry] JVM terminated. Exit code=13 after update,blocker,system failure / crash,immediate action required
38145,templates: empty lines are ignored,minor,user-facing bug,needs attention soon
178495,[Browser] Control-N from Browser causes multiple errors.,critical,system failure / crash,immediate action required
5190,GC.stringExtent() gives incorrect data for italic fonts,normal,user-facing bug,needs attention soon
328397,Reduce API tools footprint in releng scenarios,normal,performance degradation,needs attention soon
198092,CDT 4.0 plug-ins fail to Import as source project,normal,user-facing bug,needs attention soon
298615,org.eclipse.cdt.utils.CygPath.getFileName() incorrect with spaces in filename,normal,user-facing bug,needs attention soon
60349,[implementation] reduce warnings due to core.runtime deprecations,normal,user-facing bug,needs attention soon
75821,[implementation] Linked mode IExitPolicy: Should first leave mode then apply character,normal,user-facing bug,needs attention soon
21,"[CVS Watch/Edit] ""cvs release"" a project's local workspace (1GBESCM)",normal,user-facing bug,needs attention soon
182842,[patch] Editor pref panels out of date,normal,user-facing bug,needs attention soon
94556,Move instance method active for classes not on build path,normal,user-facing bug,needs attention soon
67813,TableColumn.setAlignment() does not apply to column zero,normal,user-facing bug,needs attention soon
212312,Invisible Shell active after setting invisible in Activate listener,normal,user-facing bug,needs attention soon
133190,Namespace support for the Ant extension points,normal,user-facing bug,needs attention soon
75503,[VM] crash in Scanner.getCurrentIdentifierSource(),normal,system failure / crash,immediate action required
13315,Cannot close the run-time workbench,normal,user-facing bug,needs attention soon
18199,One-click license page,normal,user-facing bug,needs attention soon
70139,tests,normal,user-facing bug,needs attention soon
299651,PlatformURLResourceConnection cannot handle special character % in url,normal,user-facing bug,needs attention soon
279286,Incremental compiler takes too long to react on Cancel,normal,performance degradation,needs attention soon
62628,Rename refactoring does not take mutiple source directories into account when renaming members with default (package) access,normal,user-facing bug,needs attention soon
304537,Error in comparator message,normal,user-facing bug,needs attention soon
223020,ClassCastException when accessing type of typedef,normal,system failure / crash,immediate action required
106384,TVT 3.1 - TCT 478 - String truncation in editor template preferences,major,non-critical feature request,can wait (low urgency)
271001,[Connection] cvs co fails in Eclipse but succeeds on command line,trivial,non-critical feature request,can wait (low urgency)
302562,Rootfiles created in feature customBuildCallbacks not copied to product root directory,normal,user-facing bug,needs attention soon
308128,[Help] In ScopePreferenceDialog checkbox Include results about disabled capabilities does nothing,normal,user-facing bug,needs attention soon
280762,[readme] Add warning about using Windows extraction utility,enhancement,non-critical feature request,can wait (low urgency)
78497,Make CVS log in console link to editor and history,enhancement,non-critical feature request,can wait (low urgency)
230955,[Viewers] Keyboard navigation and Scrolling Column into view,enhancement,non-critical feature request,can wait (low urgency)
9071,Error Objects created in wrong place for code after an #endif,normal,user-facing bug,needs attention soon
315214,Breakpoint with old JRE path behaves strangely,normal,user-facing bug,needs attention soon
182001,Whacky behaviour in the update manager with WPF drop of Eclipse on Windows Vista,major,user-facing bug,needs attention soon
47458,Manual updates are not detected at startup,normal,user-facing bug,needs attention soon
114454,[CellEditors] ColorCellEditor should put the color dialog in a better position,enhancement,non-critical feature request,can wait (low urgency)
54645,Organize Imports: Blank Line between imports of different packages [code manipulation],normal,user-facing bug,needs attention soon
95196,[api] experimental API in org.eclipse.tomcat,normal,user-facing bug,needs attention soon
34389,[DOC] Can't see modules under branches,normal,non-critical feature request,can wait (low urgency)
135575,[content type] Allow multiple DTDs for one content type in XMLRootElementContentDescriber,enhancement,non-critical feature request,can wait (low urgency)
161638,[Repo View] Strange errors when permissions don't allow content fetch,normal,non-critical feature request,can wait (low urgency)
17466,Prompt for targets option,enhancement,non-critical feature request,can wait (low urgency)
292068,[target] Target environment settings not persisted on Mac OS,normal,user-facing bug,needs attention soon
61463,NPE while doing text search and replace,normal,system failure / crash,immediate action required
156132,No timeout when searching for updates of  currently installed features,normal,performance degradation,needs attention soon
220404,[Contributions] Update action extension points to use identifier,normal,user-facing bug,needs attention soon
26421,List hangs on GTK,normal,system failure / crash,immediate action required
40442,Abstract class fails to invoke interface-defined method in 1.4 compliance mode.,normal,user-facing bug,needs attention soon
124018,[Workbench][Commands] Shift key makes part switchers sticky,normal,user-facing bug,needs attention soon
34524,RC2: JVM crashes when attempting to launch file browser,critical,system failure / crash,immediate action required
21481,Resource Patcher dialog has no optimal layout,enhancement,non-critical feature request,can wait (low urgency)
262624,Undo block selection paste only removes one line,normal,user-facing bug,needs attention soon
36848,Support double-click in variable selection dialog,enhancement,non-critical feature request,can wait (low urgency)
107670,[Help] Provide attribute for doc plugin author to indicate navigation entry should open outside of webapp,enhancement,non-critical feature request,can wait (low urgency)
60365,hierarchy view shows some interfaces as classes [type hierarchy],normal,user-facing bug,needs attention soon
110799,[1.5] Raw bindings miss type arguments but sometimes have type parameters,normal,user-facing bug,needs attention soon
88082,ASTParser#createASTs(..) does not use the given progress monitor,normal,user-facing bug,needs attention soon
60097,Testing CDT component owners,normal,user-facing bug,needs attention soon
207569,[Viewers] Different order of creating a table cursor results in not showing an inline editor,normal,user-facing bug,needs attention soon
131469,"[CommonNavigator][Java] ""Package Presentation"" action sometimes has wrong mode",normal,user-facing bug,needs attention soon
160827,[Browser] javascript not correctly initialized/loaded when navigating by clicking,normal,user-facing bug,needs attention soon
69538,NPE Unhandled event loop exception,normal,system failure / crash,immediate action required
60277,[RCP] [intro] RCP workbench does not open intro,normal,user-facing bug,needs attention soon
271362,NPE opening site.xml editor,normal,system failure / crash,immediate action required
8627,method arguments to class in jar,enhancement,non-critical feature request,can wait (low urgency)
90324,[Patch] Applying patch causes exception in M5a,normal,user-facing bug,needs attention soon
212526,[KeyBindings] 'emacs' keyword should link to keys preference page,trivial,non-critical feature request,can wait (low urgency)
67577,Method/Class profiling.,enhancement,non-critical feature request,can wait (low urgency)
74737,[preferences] Displayed tab width preference misleading,minor,user-facing bug,needs attention soon
127504,[Import/Export] Import Existing Projects from zip is confusing when projects are already in workspace,normal,user-facing bug,needs attention soon
42201,ConcurrentModificationException calculating decorator,normal,system failure / crash,immediate action required
209052,[number format detail] Duplicate information can appear in the DSF Detail Pane,normal,user-facing bug,needs attention soon
42052,[preferences] Need public access to Java Editor settings,enhancement,non-critical feature request,can wait (low urgency)
187416,TVT33:TCT238: Truncation error in Language Mappings file properties,major,user-facing bug,needs attention soon
325277,"[disassembly] add IInstruction#getSize() to fill single-instruction gaps, allow large pseudo-mnemonics",normal,non-critical feature request,can wait (low urgency)
143256,eclipse 3.2RC5 hangs on startup,normal,system failure / crash,immediate action required
123535,Add source code statistics support,enhancement,non-critical feature request,can wait (low urgency)
59476,[ViewMgmt] [RCP] Should have an app-level preference for whether detached views are supported,normal,user-facing bug,needs attention soon
87408,Webdav import did not import everything,normal,user-facing bug,needs attention soon
343861,Project should not be required to perform debugging,normal,user-facing bug,needs attention soon
333360,[DOM] eclipse fails to create array binding in this situation,major,user-facing bug,needs attention soon
147325,[Dialogs] Need to set context help IDs,enhancement,non-critical feature request,can wait (low urgency)
143160,Hangs during plugin export,critical,system failure / crash,immediate action required
218712,adding plug-in from CVS broke workspace profile,normal,user-facing bug,needs attention soon
191322,[javadoc] @see or @link reference to method without signature fails to resolve to base class method,normal,user-facing bug,needs attention soon
80626,[1.5] enum types cannot define a compareTo(Object o) method,normal,user-facing bug,needs attention soon
94754,[1.5][compiler] Ambiguous method call is not detected,major,user-facing bug,needs attention soon
7481,JME in compare,normal,user-facing bug,needs attention soon
57785,"New Search: once enabled, cannot be disabled",normal,user-facing bug,needs attention soon
19606,Scoped exception breakpoints disappear randomly,normal,user-facing bug,needs attention soon
96770,Code completion does not work in enum constants,normal,user-facing bug,needs attention soon
14267,Non-reproducible crash on 20020412,major,system failure / crash,immediate action required
75962,[Help] Beef up help preferences.,normal,user-facing bug,needs attention soon
88916,Tabs and spaces don't line up,normal,user-facing bug,needs attention soon
310668,"[LinkedResources] Bad tab order in ""New > Folder"" wizard",minor,user-facing bug,needs attention soon
43333,Rework build options tab to avoid use of working-set refresh variable,normal,user-facing bug,needs attention soon
39318,Live Synch view not used when sharing project,normal,user-facing bug,needs attention soon
14341,Cannot search for German words from the browser,normal,user-facing bug,needs attention soon
80224,"provide quickfix or other help for ""The type ... cannot be resolved. It is indirectly referenced from required .class files"" [quick fix]",enhancement,non-critical feature request,can wait (low urgency)
73661,[Preferences] Need to have field editors use OSGI preferences,enhancement,non-critical feature request,can wait (low urgency)
65641,Rapid pasting causes improper indent of pasted test,normal,user-facing bug,needs attention soon
4014,"Too many names for ""hierarchy"" view (1GFXP2K)",minor,user-facing bug,needs attention soon
11265,Need replacement source locator API,normal,user-facing bug,needs attention soon
46829,[RCP] zip import wizard doen't honor java selection,normal,user-facing bug,needs attention soon
287055,Multiline tooltip for method arguments,normal,user-facing bug,needs attention soon
141395,Selected item lost in Tree,major,user-facing bug,needs attention soon
306680,[build path] UI to configure referenced JARs in Properties > Java Build Path > Libraries,enhancement,non-critical feature request,can wait (low urgency)
91854,Performance issue with WorkbenchIntroManager.showIntro,normal,performance degradation,needs attention soon
18887,'Debug As' drop down menu missing 'Remote Java Application',normal,user-facing bug,needs attention soon
74263,[EditorMgmt] Allow customized matching of editor inputs,enhancement,non-critical feature request,can wait (low urgency)
31948,AntEditor reconciling has broken resolution of external entities,normal,user-facing bug,needs attention soon
58284,"Call to <concat> requires fixlastline attribute setting to ""yes""",normal,user-facing bug,needs attention soon
264098,[IDE] Make org.eclipse.ui.navigator.resources a friend of org.eclipse.ui.ide,normal,user-facing bug,needs attention soon
218137,[ErrorHandling]  Errors for multiple jobs are displayed in many dialogs,normal,user-facing bug,needs attention soon
36275,[java launching] Navigate from launch config to application class,normal,user-facing bug,needs attention soon
34860,JRE container performance problem,normal,performance degradation,needs attention soon
76496,"[Dialogs] ""Open Resource"" folder sorting gets reversed",normal,user-facing bug,needs attention soon
36459,Ant doesn't handle linked files,normal,user-facing bug,needs attention soon
8231,After using fast views entire workbench is unresponsive,major,user-facing bug,needs attention soon
37111,classpath file - java source attachment shouldn't hardcode project name,normal,user-facing bug,needs attention soon
55170,[Colors/Fonts] Changing a font in the Colors and Fonts preference page causes all views and editors to appear active,normal,user-facing bug,needs attention soon
250928,Debug serversocket nulled out,normal,user-facing bug,needs attention soon
49800,AbstractLaunchConfigurationTab makes displaying correct error message tricky,normal,user-facing bug,needs attention soon
80439,[Progress] No way to freeze ProgressMonitor animation from a Job,enhancement,system failure / crash,immediate action required
135574,ClassCastException in LocalHistoryPage.inputSet,normal,system failure / crash,immediate action required
66119,generalize type: interfaces handled incorectly [refactoring],minor,user-facing bug,needs attention soon
3182,CodeCompletion - wrong completion (1FTZBMZ),normal,user-facing bug,needs attention soon
94573,Stepping over an <ant> task causes hang or NullPointerException in some build files,normal,system failure / crash,immediate action required
74455,Race condition with Cygwin CVS client and Eclipse's CVS w/ automatic refresh,normal,performance degradation,needs attention soon
89137,"[JFace] - API Review - ""temporary"" API in AbstractTreeViewer",normal,user-facing bug,needs attention soon
182287,compare editors open separate Find/Replace dialogs and don't follow focus,normal,user-facing bug,needs attention soon
176762,VM slows down due to method entry breakpoint being misplaced,major,user-facing bug,needs attention soon
103636,JDT compiler produces invalid XML,normal,user-facing bug,needs attention soon
37196,Output differences from command line Ant,normal,user-facing bug,needs attention soon
18856,Lose indication of error in Java Breakpoint Properties dialog,normal,user-facing bug,needs attention soon
29433,[EditorMgmt] Would like a way to have project close also minimize all related editors,enhancement,non-critical feature request,can wait (low urgency)
159538,[Trim] 6 test failures in the test suite with examples loaded,normal,user-facing bug,needs attention soon
261783,WatchpointTrigger events don't show the watchpoint's expression,enhancement,non-critical feature request,can wait (low urgency)
136408,Setting classpath on UI thread in TargetPlatformPreferencePage,normal,user-facing bug,needs attention soon
57631,[EditorMgmt] NullPointerException in EditorWorkbook.createControl,major,system failure / crash,immediate action required
26841,Compiler - Does not detect non-visible member type in import,normal,user-facing bug,needs attention soon
154040,"[content assist] ""Content Assist"" window disappears",normal,user-facing bug,needs attention soon
225534,numeric literals unsupported beyond int and float,normal,user-facing bug,needs attention soon
171191,"Require a API to get similar signature for a type from model.dom, dom.ast, parser.ast",enhancement,non-critical feature request,can wait (low urgency)
74195,Allow user to choose the javac declaration to use for import from buildfile,normal,non-critical feature request,can wait (low urgency)
213268,[open plug-in artifact] filter is too stringent,enhancement,non-critical feature request,can wait (low urgency)
4515,Carrots and Anchors (1FV5UKI),normal,user-facing bug,needs attention soon
161790,[Undo] - CopyResourcesOperation should invalidate if source resources are gone,normal,user-facing bug,needs attention soon
301921,eclipse will not open.,major,system failure / crash,immediate action required
218648,[Error Log] Export Log... always exports the first error,normal,user-facing bug,needs attention soon
70915,[spell checking][preferences] editors do not update after spell check preference change,minor,user-facing bug,needs attention soon
60468,Text-/Java-Editor's Find-Replace dialog does not memorize the replace value,minor,user-facing bug,needs attention soon
247827,Plug-In Manifest editor -> depenencies -> plugin selection -> Improve responsiveness,enhancement,non-critical feature request,can wait (low urgency)
296414,Buttons with accelerator keys refuse to respond to mouse clicks,major,user-facing bug,needs attention soon
313975,The Core Resources API should support adding 'permanent' properties to the .project file,normal,user-facing bug,needs attention soon
