id,short_desc,severity
214724,[Commands] Conflict for 'org.eclipse.team.ui.synchronizeAll' and 'synchronizeLast',normal
213700,Eclipse Formatter needs to provide a mechanism to IGNORE line wrapping,enhancement
236341,NPE in AnnotationPainter when using SourceView with no TextEditor,normal
241002,"Support ""Smart Caret Positioning"" in fields with IDs and Java identifiers",enhancement
195633,CVS team information and CVS directories disappear,normal
296018,Allow activating cell editors using the keyboard in variables views.,enhancement
17965,Dav: Poor error handling on folder creation,normal
48177,Code formatter preference page: Line wrapping policy should propose No wrapping,normal
253086,no error on trailing comma in multi valued element in annotation,normal
200573,"[KeyBindings] Keybinding for ""Show History"" doesn't work",normal
232197,"Eclipse slows down, itself and system",normal
75828,Recursively refresh tags in the event of missing or undefined refresh files,normal
7463,Search for implementors fails,normal
93252,problem with displaying kannada text,major
40138,Incorrect dialog titles for adding / editing tasks / types,normal
22651,[Wizards] Font default values for Banner Text/Header Text are swapped,major
17821,[Perspectives] Customize Perspective should give visual indication,enhancement
25508,JavaDOC code assist doesn't recognize imports when commenting class,major
296819,"Remove use of the word ""profile"" to mean baseline",trivial
35125,"[RC2] ""New->Java->JUnit Test Case"" throws exception",blocker
7723,Eclipse doesn't fire a Focus Lost event at closing,normal
39771,[Live Sync View] Prompt to overwrite should show compare decorator,enhancement
69984,[code assist][preference] Info dialog when using code assist in an editor of a Java file not in a Java project,minor
76118,C++ working set members do not persist after they are closed,normal
201381,[Undo] Disable undo for resource opperations,enhancement
76523,[Perspectives] [RCP] Provide API to re-layout a perspective,normal
79715,Allow federated search,enhancement
120382,False access restriction warnings,normal
229812,[number format detail] Number format detail pane calls a service on a backgroun thread.,major
120269,[refactoring] Preview filter combo: selecting an item does not update preview,normal
70207,Compare to Head shows Ignored Resources,normal
61326,Import features from binary does not put the feature in the workspace folder,normal
42403,"Position of ""synchronized"" and ""override/implement"" icons [render]",enhancement
237296,Code Template Editor causes Loop and GUI Freeze on W2K,normal
72736,[Refactoring] Rename does not check if the scanner is properly configured,normal
124973,Problem with Browser removeProgressListener,normal
50008,Hide Application Doesn't work,minor
95533,Does not highlight currentLine while debugging,critical
158526,[search] NPE in JavaSearchScope.addEnclosingProjectOrJar(..),normal
190444,ANT: Using Import function to import a macro breaks some ant editor functionality,normal
22233,[Import/Export] Bad message in Import dialog,normal
26669,[Editor Mgmt] Add action for maximize/restore current window functionality,enhancement
52003,[Preferences] Main Workbench Pref Page - Keep/next ... no mnemonic,normal
11069,Prompting for saving a dirty shared editor inconsistent,normal
139697,[JUnit] the number of history items is not correct,trivial
82926,"[EditorMgmt] Ability to ""Pin Editor"" in ""Switch to Editor"" dialog",enhancement
233187,[javadoc] partially qualified inner types  should be warned,minor
85352,Self-hosted workspace not picking up product information,major
158139,Show inherited members in Outline view,enhancement
168738,ProgressBar does not respect user-defined foreground colors.,major
103810,[WorkbenchParts] Sites should release their part after part is disposed,normal
41403,Alt Key Does Not Work,major
189243,Display the element values of STL containers - at debug time,enhancement
52106,[Wizards] Project creation wizard; existing project; should disable next,enhancement
119109,KeyEvent.doit does not work for a CCombo,normal
20283,Emacs keybindings for content assist and parameter info don't work,critical
91153,[Contributions] Add Actionset only to specified Perspective,enhancement
105942,[1.5][search] search for method declaration does not find overriding with non-matching type variable name,normal
62681,Painting cheese in Forms package,normal
12279,Java warning and error markers obscure each other,normal
51988,[Accessibility] JAWS does not read Eclipse custom tooltips,normal
137330,[Commands] remove experimental keys preference page for 3.2,normal
30830,StackOverflow on HCR from VariablesView,normal
15926,Problems with default JRE and running JRE do not match,normal
63600,"Wizard based implementation of equals(), hashcode() and toString() methods in any Java Class.",enhancement
198979,copy address context menu enhancement,enhancement
29592,Add Methods/Layout Menu [render],enhancement
25796,Update to root 1.0.1 does not diable efix,critical
63521,"Missing configuration option: tab width=8, indent width=4",minor
42899,Search: cannot find beyond function body,major
51022,Problem with Long,normal
178753,Cannot do anything in Run/Debug>Launching>Default Launcher preference page,normal
208387,Error message at build startup,normal
123111,"Request to create test.xml for each of osgi, runtime and resources test plug-ins",normal
11021,add method feature,enhancement
61248,[Workbench] Exceptions on startup in the presentation code will result in a phantom window,major
91196,cvs pserver to local gets connection reset by peer,normal
23666,copy and pasting types [ccp],enhancement
273349,Generated SimpleMail app shows duplicate features,normal
17244,Search Menu - &File and Re&ferences mnemonics clash,minor
208433,Launch from Run/Debug settings dialog,enhancement
287028,ErrorDialog with null as Shell crashes,normal
59339,[Workbench] NPE on shutdown while saving state,critical
48809,[browser] breaking change - rename LocationEvent.cancel to LocationEvent.doit and reverse boolean meaning,normal
146040,"[Workbench] Incomplete schema doc for filesystemSupport, markerImageProviders, markerSupport",normal
153242,[misc] Must correctly deprecate org.eclipse.jdt.ui.javadocCompletionProcessor,normal
127641,[build path] new java project wizard: help issues,normal
274772,lrparser.xlc.ui.preferences they are everywhere,critical
44170,ITypeHierarchy#getImplementingClasses bug?,normal
77548,[Encodings] Cannot open the project's preferences page when running on a 1.5 VM,major
50018,update class path  should prompt to save the plugin.xml,minor
38427,[breakpoints] class breakpoints - useful new feature,enhancement
308753,[psf] new feature :: be able to spec a custom location to place the download project,enhancement
214522,[Viewers] ComboViewer#insert() silently modifies the selected value,major
37761,[content assist][key binding] Up/down key binding should also be honored in code assist,normal
28300,[Team Core] Team may not need delta listener,normal
9701,NS4: Status line should show topic label,normal
100218,unecessary cast in case of boxing,normal
48089,[ActivityMgMt] Folders created on an IPageLayout should only be visible if they contain non-placeholder views,normal
99981,[WorkbenchParts] Toolbar buttons overlap view subtitle when SWT XP manifest used,normal
45714,[CVS UI] Add to CVS Version Control details are not sorted,normal
122914,[formatter] Formating java file breaks NLS (//$NON-NLS-1$) comments,normal
58220,Unable to remove all error parsers,normal
277307,3.5RC1 crashes during build with jdk1.6,major
28511,java build path: javadoc location specyfying has incostistent explanation,normal
71262,Combo boxes ignoring visible item count,normal
61224,Parsing Exception during startup,normal
202675,Help context with empty description causes NPE,normal
240397,DVT34: broken link in documentation,minor
312459,Loading browser instance delayed after bug fix 295483,normal
43263,cannot programmatically retrieve all text from console,normal
128122,Poor error messages which are not logged,normal
243809,Incremental build problem with fix for bug 229697,normal
69335,[UIForms] Bug/typo in TableWrapLayout,normal
65987,"[Intro] Welcome testing - ""Action not implemented"".",major
33167,[DND] Poor support for drag and drop between Eclipse and Linux,normal
59378,"[Workbench] 3.0 plug-ins have percents, missing, or incorrect names and version info",normal
18896,Need protection in launch configurations,normal
94085,Thread receive warning with valid usage!,trivial
157091,should adopt ICU Collator and use new APIs on StructuredViewer,normal
125652,[CommonNavigator] Default filter activations causes failure in OpenTest,normal
93105,Remove unnecessary APIs on BindingKey,normal
209196,Unused locals in compiler logs for N20071108-0010,normal
104225,[CellEditors] Using Viewer for ComboBoxCellEditor,enhancement
23663,[ExternalTools] Color in Log Console incorrect when showing output of selected element,normal
172586,Need a way to specify user defined platform properties,normal
5313,Message not clear and workspace does not start up if plug-in does not have version number,normal
225440,"MenuDetect events sent with (0, 0) coordinates",normal
27154,[Tasks] task list filter - 'limit visible items to' seems to make no sense,normal
22976,DCR - warning for unused declarations of thrown exceptions,enhancement
82828,Table's SWT.FULL_SELECTION broken for empty table items,major
84088,[registry] JVM terminated. Exit code=13 after update,blocker
38145,templates: empty lines are ignored,minor
178495,[Browser] Control-N from Browser causes multiple errors.,critical
5190,GC.stringExtent() gives incorrect data for italic fonts,normal
328397,Reduce API tools footprint in releng scenarios,normal
198092,CDT 4.0 plug-ins fail to Import as source project,normal
298615,org.eclipse.cdt.utils.CygPath.getFileName() incorrect with spaces in filename,normal
60349,[implementation] reduce warnings due to core.runtime deprecations,normal
75821,[implementation] Linked mode IExitPolicy: Should first leave mode then apply character,normal
21,"[CVS Watch/Edit] ""cvs release"" a project's local workspace (1GBESCM)",normal
182842,[patch] Editor pref panels out of date,normal
94556,Move instance method active for classes not on build path,normal
67813,TableColumn.setAlignment() does not apply to column zero,normal
212312,Invisible Shell active after setting invisible in Activate listener,normal
133190,Namespace support for the Ant extension points,normal
75503,[VM] crash in Scanner.getCurrentIdentifierSource(),normal
13315,Cannot close the run-time workbench,normal
18199,One-click license page,normal
70139,tests,normal
299651,PlatformURLResourceConnection cannot handle special character % in url,normal
279286,Incremental compiler takes too long to react on Cancel,normal
62628,Rename refactoring does not take mutiple source directories into account when renaming members with default (package) access,normal
304537,Error in comparator message,normal
223020,ClassCastException when accessing type of typedef,normal
106384,TVT 3.1 - TCT 478 - String truncation in editor template preferences,major
271001,[Connection] cvs co fails in Eclipse but succeeds on command line,trivial
302562,Rootfiles created in feature customBuildCallbacks not copied to product root directory,normal
308128,[Help] In ScopePreferenceDialog checkbox Include results about disabled capabilities does nothing,normal
280762,[readme] Add warning about using Windows extraction utility,enhancement
78497,Make CVS log in console link to editor and history,enhancement
230955,[Viewers] Keyboard navigation and Scrolling Column into view,enhancement
9071,Error Objects created in wrong place for code after an #endif,normal
315214,Breakpoint with old JRE path behaves strangely,normal
182001,Whacky behaviour in the update manager with WPF drop of Eclipse on Windows Vista,major
47458,Manual updates are not detected at startup,normal
114454,[CellEditors] ColorCellEditor should put the color dialog in a better position,enhancement
54645,Organize Imports: Blank Line between imports of different packages [code manipulation],normal
95196,[api] experimental API in org.eclipse.tomcat,normal
34389,[DOC] Can't see modules under branches,normal
135575,[content type] Allow multiple DTDs for one content type in XMLRootElementContentDescriber,enhancement
161638,[Repo View] Strange errors when permissions don't allow content fetch,normal
17466,Prompt for targets option,enhancement
292068,[target] Target environment settings not persisted on Mac OS,normal
61463,NPE while doing text search and replace,normal
156132,No timeout when searching for updates of  currently installed features,normal
220404,[Contributions] Update action extension points to use identifier,normal
26421,List hangs on GTK,normal
40442,Abstract class fails to invoke interface-defined method in 1.4 compliance mode.,normal
124018,[Workbench][Commands] Shift key makes part switchers sticky,normal
34524,RC2: JVM crashes when attempting to launch file browser,critical
21481,Resource Patcher dialog has no optimal layout,enhancement
262624,Undo block selection paste only removes one line,normal
36848,Support double-click in variable selection dialog,enhancement
107670,[Help] Provide attribute for doc plugin author to indicate navigation entry should open outside of webapp,enhancement
60365,hierarchy view shows some interfaces as classes [type hierarchy],normal
110799,[1.5] Raw bindings miss type arguments but sometimes have type parameters,normal
88082,ASTParser#createASTs(..) does not use the given progress monitor,normal
60097,Testing CDT component owners,normal
207569,[Viewers] Different order of creating a table cursor results in not showing an inline editor,normal
131469,"[CommonNavigator][Java] ""Package Presentation"" action sometimes has wrong mode",normal
160827,[Browser] javascript not correctly initialized/loaded when navigating by clicking,normal
69538,NPE Unhandled event loop exception,normal
60277,[RCP] [intro] RCP workbench does not open intro,normal
271362,NPE opening site.xml editor,normal
8627,method arguments to class in jar,enhancement
90324,[Patch] Applying patch causes exception in M5a,normal
212526,[KeyBindings] 'emacs' keyword should link to keys preference page,trivial
67577,Method/Class profiling.,enhancement
74737,[preferences] Displayed tab width preference misleading,minor
127504,[Import/Export] Import Existing Projects from zip is confusing when projects are already in workspace,normal
42201,ConcurrentModificationException calculating decorator,normal
209052,[number format detail] Duplicate information can appear in the DSF Detail Pane,normal
42052,[preferences] Need public access to Java Editor settings,enhancement
187416,TVT33:TCT238: Truncation error in Language Mappings file properties,major
325277,"[disassembly] add IInstruction#getSize() to fill single-instruction gaps, allow large pseudo-mnemonics",normal
143256,eclipse 3.2RC5 hangs on startup,normal
123535,Add source code statistics support,enhancement
59476,[ViewMgmt] [RCP] Should have an app-level preference for whether detached views are supported,normal
87408,Webdav import did not import everything,normal
343861,Project should not be required to perform debugging,normal
333360,[DOM] eclipse fails to create array binding in this situation,major
147325,[Dialogs] Need to set context help IDs,enhancement
143160,Hangs during plugin export,critical
218712,adding plug-in from CVS broke workspace profile,normal
191322,[javadoc] @see or @link reference to method without signature fails to resolve to base class method,normal
80626,[1.5] enum types cannot define a compareTo(Object o) method,normal
94754,[1.5][compiler] Ambiguous method call is not detected,major
7481,JME in compare,normal
57785,"New Search: once enabled, cannot be disabled",normal
19606,Scoped exception breakpoints disappear randomly,normal
96770,Code completion does not work in enum constants,normal
14267,Non-reproducible crash on 20020412,major
75962,[Help] Beef up help preferences.,normal
88916,Tabs and spaces don't line up,normal
310668,"[LinkedResources] Bad tab order in ""New > Folder"" wizard",minor
43333,Rework build options tab to avoid use of working-set refresh variable,normal
39318,Live Synch view not used when sharing project,normal
14341,Cannot search for German words from the browser,normal
80224,"provide quickfix or other help for ""The type ... cannot be resolved. It is indirectly referenced from required .class files"" [quick fix]",enhancement
73661,[Preferences] Need to have field editors use OSGI preferences,enhancement
65641,Rapid pasting causes improper indent of pasted test,normal
4014,"Too many names for ""hierarchy"" view (1GFXP2K)",minor
11265,Need replacement source locator API,normal
46829,[RCP] zip import wizard doen't honor java selection,normal
287055,Multiline tooltip for method arguments,normal
141395,Selected item lost in Tree,major
306680,[build path] UI to configure referenced JARs in Properties > Java Build Path > Libraries,enhancement
91854,Performance issue with WorkbenchIntroManager.showIntro,normal
18887,'Debug As' drop down menu missing 'Remote Java Application',normal
74263,[EditorMgmt] Allow customized matching of editor inputs,enhancement
31948,AntEditor reconciling has broken resolution of external entities,normal
58284,"Call to <concat> requires fixlastline attribute setting to ""yes""",normal
264098,[IDE] Make org.eclipse.ui.navigator.resources a friend of org.eclipse.ui.ide,normal
218137,[ErrorHandling]  Errors for multiple jobs are displayed in many dialogs,normal
36275,[java launching] Navigate from launch config to application class,normal
34860,JRE container performance problem,normal
76496,"[Dialogs] ""Open Resource"" folder sorting gets reversed",normal
36459,Ant doesn't handle linked files,normal
8231,After using fast views entire workbench is unresponsive,major
37111,classpath file - java source attachment shouldn't hardcode project name,normal
55170,[Colors/Fonts] Changing a font in the Colors and Fonts preference page causes all views and editors to appear active,normal
250928,Debug serversocket nulled out,normal
49800,AbstractLaunchConfigurationTab makes displaying correct error message tricky,normal
80439,[Progress] No way to freeze ProgressMonitor animation from a Job,enhancement
135574,ClassCastException in LocalHistoryPage.inputSet,normal
66119,generalize type: interfaces handled incorectly [refactoring],minor
3182,CodeCompletion - wrong completion (1FTZBMZ),normal
94573,Stepping over an <ant> task causes hang or NullPointerException in some build files,normal
74455,Race condition with Cygwin CVS client and Eclipse's CVS w/ automatic refresh,normal
89137,"[JFace] - API Review - ""temporary"" API in AbstractTreeViewer",normal
182287,compare editors open separate Find/Replace dialogs and don't follow focus,normal
176762,VM slows down due to method entry breakpoint being misplaced,major
103636,JDT compiler produces invalid XML,normal
37196,Output differences from command line Ant,normal
18856,Lose indication of error in Java Breakpoint Properties dialog,normal
29433,[EditorMgmt] Would like a way to have project close also minimize all related editors,enhancement
159538,[Trim] 6 test failures in the test suite with examples loaded,normal
261783,WatchpointTrigger events don't show the watchpoint's expression,enhancement
136408,Setting classpath on UI thread in TargetPlatformPreferencePage,normal
57631,[EditorMgmt] NullPointerException in EditorWorkbook.createControl,major
26841,Compiler - Does not detect non-visible member type in import,normal
154040,"[content assist] ""Content Assist"" window disappears",normal
225534,numeric literals unsupported beyond int and float,normal
171191,"Require a API to get similar signature for a type from model.dom, dom.ast, parser.ast",enhancement
74195,Allow user to choose the javac declaration to use for import from buildfile,normal
213268,[open plug-in artifact] filter is too stringent,enhancement
4515,Carrots and Anchors (1FV5UKI),normal
161790,[Undo] - CopyResourcesOperation should invalidate if source resources are gone,normal
301921,eclipse will not open.,major
218648,[Error Log] Export Log... always exports the first error,normal
70915,[spell checking][preferences] editors do not update after spell check preference change,minor
60468,Text-/Java-Editor's Find-Replace dialog does not memorize the replace value,minor
247827,Plug-In Manifest editor -> depenencies -> plugin selection -> Improve responsiveness,enhancement
296414,Buttons with accelerator keys refuse to respond to mouse clicks,major
313975,The Core Resources API should support adding 'permanent' properties to the .project file,normal
171670,[typing] Shift Left/Right in Text Editor scrolls viewport,normal
303370,Creating an event breakpoint leaves you with a disabled element in the Breakpoints views,normal
7730,Error message on deleting a project with extra files needs to be reworded,normal
21005,[Team Core] silent walkback attributed to team,normal
112586,[api] add support for toggling folding for IJavaElement's,enhancement
148364,Tree with MULTI | FULL_SELECTION does not show focus ring,normal
295573,IDE Hangs on paste from one java file to another,normal
211520,[CommonNavigator] Save disabled when Project Explorer view has focus,normal
288565,[Widgets] Table shows wrong text in second and third columns,normal
13551,Launch not removed from Debug view if already running error encountered,normal
245790,Add a template variable ${clipboard},enhancement
155352,"Enable ""Properties..."" button for multiple selected Imported Packages",enhancement
48465,Search refuses 'whole word' when punctuation used,minor
22125,Permit suppression of parentheses insertion in code assist,enhancement
20400,Fully qualified class names break visibility in WSWB 1.0.,normal
134589,allow model driven selection/expansion restoration,enhancement
26220,Run With...,normal
125361,spelling error in Configure Details Area dialog,trivial
131788,[Sync Info] CVS unmaps project when project directory is missing,minor
77800,[Encoding] Wrong information shown in encoding properties dialog,major
247216,Display.post(Event) - problem with ALT+SHIFT+INSERT,normal
248163,NPE in Element.asType(),normal
53658,GTK: List should not pre-select item if setSelection is not called,normal
5523,"Add ""Finds Strings To Externalize"" to Java project and source folder",minor
231265,[override method][code generation] allow to enter new methods at the current cursor location,enhancement
110807,Need way to access compilation errors from Compiler,normal
75779,Order of perspectives lost between sessions,normal
34710,Stop auto building of java files,normal
88712,[Refactoring] Add new super-class,enhancement
187562,CommonNavigator is not documented,normal
206750,[JUnit] Running JUnit tests in ANT should bring up the JUnit UI,enhancement
32126,Text selection in 'Edit Template' dialog behaves oddly,minor
151765,[generate constructor]  doesn't respect the formatter settings,normal
184609,TreeLayout doesn't let you resize columns,normal
189732,Ambiguous accelerator key in OSGi launch dialog,normal
48315,LaunchView thread timer runs too long,normal
5838,[Navigation] Should support both a step into and step over,enhancement
310162,Out of memory in c++ parser,critical
35417,"""Replace With"" menu is empty when no provider",normal
17981,Cycle Actions do not work in German,critical
155068,"unable to checkout module, suspect JDK bug",major
198081,Problem with code completion and nested classes,normal
241870,C/C++ Project View does not support Drag and Drop from 3rd party plugin using PluginTransfer,normal
177019,Add WPF build,normal
98754,[Contributions] View sites are returning disposed contribution items,normal
243845,API Tooling tags for org.eclipse.compare.patch.* in org.eclipse.compare.core,trivial
70487,TVT3.0: NL Fragment build tool to pick up gif files.,normal
94277,Cannot change build command,normal
45025,Hang on file copy/paste from Package Explorer,normal
32216,SearchMarker exception found in .log,normal
237022,StackOverflowError when opening class in jar,normal
291073,JVM Crash when printing to console: SIGSEGV native frame [libglib-2.0.so.0+0x6a2f0]  g_utf8_offset_to_pointer+0x20,critical
7217,manifest editor UI inconsistent and confusing,normal
31833,wrong background for separator label on MacOS X,normal
33238,Support reruning a test suite [JUnit],enhancement
110096,"[DnD] Dragging a file over to an editor opens an editor where current editor has focus, not where it was dragged",minor
65690,[ViewMgmt] Multiple Views don't care of the perspective layout.,normal
108581,[navigation] Double click selects too much,minor
24660,Warnings for non-externalized strings,enhancement
274102,Funny feature name for API tools feature,normal
34327,Update (P.3.) Feature Install wizard: usability,enhancement
6018,No way to delete custom perspectives,enhancement
25147,Can't seem to cancel JRE search,major
231696,[ds] Refactoring Messages fields,normal
250485,[EditorMgmt] Status message from active editor is hidden when Eclipse started,normal
164797,[Viewers] [Snippet] Show how to avoid scrolling when Viewer refreshes in 3.2,normal
51859,[expressions] Multiple watch (expressions) views,enhancement
154241,NPE in RCPTestSuite,major
188821,SAXParserFactory getFactory service considered harmful?,normal
112611,Deadlock in SuperTypeHierarchyCache while coding,critical
169125,Make IDE#saveAllEditors work for logical models,major
275018,[Markers] Problems View / Configure Contents dialog should support rename,normal
320346,Test,normal
148370,[formatter] new Class<?>[] {} kills formatter,normal
233283,search engine returns emtpy search results,normal
73104,[format] indentation amount tied to tab size,enhancement
264085,[target] can't edit the location location,normal
271530,[Wizards] Wizard progress label not cleared between runnables,normal
105393,Tree widget does not update rollover tooltip when an item changes text.,normal
196538,[Viewers] AbstractTreeViewer.getTreePathFromItem fails because of Assert,normal
140980,[recovery] ClassCastException from JDT compiler,normal
33079,[JUNIT]Shell.isVisible returns false after shell.setVisible(true) called,normal
52802,Refresh in JUnit view,minor
87666,"[Workbench] Menu items that open new shell should have ""..."" in their name",trivial
92282,Console lags behind output,blocker
51290,Java Browsing selection should be updated when CU is reconciled,minor
249011,implement focus ring,normal
128451,likely error in ControlEditor,normal
316822,menu icon size should use system icon size,normal
68840,Source not found on Console hyperlink for Separate VM builds,normal
74992,Provide logical structure API base for Java,enhancement
167668,[Viewers] Changing logical structures using the Show Structure As..  menu breaks view,normal
6548,Missing mnemonics in Debug preferences,normal
228132,no welcome note and am not able to create a project,normal
318778,AntiAlias doesn't work with Clipping,normal
85686,Specific System Library is not stored for project in some case,normal
186079,java.lang.NoClassDefFoundError occurred when try to compile JSP file in PDE develope env,blocker
52952,show all env vars when replacing environment,enhancement
14797,NumberFormatException if cancel Go to line in console,normal
239303,"CDT cannot parse ""int test[2][2] = { { }, { } };"" as an array declarator, when it should.",normal
171634,[formatter] doesn't add line feed at end of file,normal
38741,Typo in Javadoc for MarginPainter,normal
311183,additional plug-in in feature launch gets silently removed,normal
116881,[Forms] Scrolling in forms leaves major cheese,major
181610,"Trim end-line whitespace, replace tabs/spaces with spaces/tabs",enhancement
268492,during share of web dynamic project the project occures twice in the view,normal
256153,Need API for disabled project builders,enhancement
128815,Assertion failures in log,normal
48812,[Dialogs] Increasing Font Size on Windows truncates dialogs/wizard pages,major
18069,cancelling causes internal error but nothing in log,normal
294233,"[content assist] ""Insert best guessed arguments"" doesn't work.",normal
238179,API to disallow workspace modification during JDT/Core operations,enhancement
56084,IllegalArgumentException deleting lines from a text file,major
47522,Default launch directory project property,enhancement
307219,[package explorer] When adding jar files to the build path they disappear from project file folders,normal
24733,Help text is wrong,normal
6827,"Delete project reports ""internal errors"" with normal use case",normal
135736,[KeyBindings] Keys preferences dialog extraordinarily slow,normal
105263,[BIDI] need to add $nl$/ to icon paths for reversed icons,normal
47795,NPE selecting method in anonymous 2 level deep,normal
15416,Classpath container - need to set value even if not referenced,normal
294769,[navigation] Open Implementation should also work on type names (esp. interfaces),enhancement
160034,[breakpoints] Status display,enhancement
103055,[Indexer] reduce use of getFileForLocation while indexing,normal
207340,PDE Binary build should exclude package-info classes and javadoc doc-files,normal
55140,Build hangs if running on separate VM that is older than 1.4,major
178355,Shell w/o SWT.MAX covers taskbar when maximized,normal
13521,[CVS Sync View] 7 second delay in sync view,normal
236837,Complete build without changes,major
41243,GTK-BIDI: RTL support in List,normal
67825,[browser] browser crashes on jdk 1.5 beta applets,critical
24024,[Viewers] Error in Javadoc for AbstractTreeViewer::setAutoExpandLevel(),normal
21980,[View Mgmt] DCR: 4-way sash drag cursor,enhancement
239902,Runtime parameter overwriten by launch parameter from product,normal
70765,[Intro] TVT3.0:  Split words on welcome page,critical
56826,"""Clean"" dialog enablement with Java editor with focus",normal
204692,PDE Export does not support pack200,enhancement
65093,Labels truncated too short on templates page of plugin wizards.,minor
129290,[quick fix] Assign to new... for arrays,enhancement
6235,Issues regarding to DialogUnits,normal
225950,[junit] JUnit 4 container has no source,normal
212022,Export and Import of user-defined key binding,enhancement
26199,Error on startup - Executable extension definition not found,normal
89671,Creating new plug-in project with view has no extensions,normal
54757,Restart dialog; layout problems,normal
45141,Broken new code formatter,normal
68754,Text Edtor (Java?): Save All not accessible,normal
124861,Dynamic Dependencies find a project for import-package that does not export the package,normal
33142,Hyperlink Navigation: Why is Shift  not possible?,normal
62114,[Dialogs] Text does not change color when READONLY is false,trivial
21873,Enancment: Package view display packages as tree,enhancement
209633,[jar exporter] also show currently closed projects listed in the .jardesc file,normal
34518,Java Applet: doesn't use the specified java executable,normal
21638,Second startup trying to restore welcome editor,normal
109491,Exception in log,minor
6483,Freeze when right-clicking to view hierarchy on type,major
18606,[CVS UI] Replace with Version: more than one runnable?,normal
53174,I18N: CDT Debug can't find a non-ascii filename,major
134852,Eclipse Source Build 3.2M6 Does not build (eclipse-sourceBuild-srcIncluded-3.2M6.zip),blocker
198740,Add toString method,enhancement
123787,[Patch] Apply Patch error handling for invalid formats,normal
6097,The inspector is not refresh,normal
323402,Open external location in Problems View throws exception when file is not there,normal
10127,Key bindings don't work when stopped at first breakpoint,normal
69637,[CheatSheets] TVT3.0: Problem executing CVS Tasks cheat sheet,major
3581,Auto-move causes too many builds (1GCV109),critical
42834,Enumerator is not a field,normal
330680,"Refactoring Signature Preview bg color is changed to default, hard to read with light syntax coloring",normal
252094,IOConsole Updater error [included simple program demonstrating issue],major
160683,instructions in generateParser.html incomplete,minor
39303,Live Synch view: only show conflicts,normal
20946,[ExternalTools] Rename tool file/project breaks tool,normal
184188,[Manifest][Editors] Deleting library from 'Runtime Information' section of 'Build' page causes NPE,normal
322725,Content type of .cproject should be XML by default,normal
316620,reorganize build directory so only essential content is sent to mirrors,normal
272502,Deprecate IProduct,normal
267979,[Reference] org.eclipse.ui.splash missing from the API reference,normal
23410,"Show ""No source"" if source locator returns null.",enhancement
93140,Search for main methods can use smaller scope,normal
162230,Indexer stack overflow with Windows SDK,normal
219424,[Parser] bindings for names resolved via using declarations,normal
245183,[Databinding] ObservableList could do a == check before delegating to the wrapped list,normal
132028,[Jave Compiler Preference Page] Checkbox requires 2 clicks to enable fields,normal
210747,[Viewers] AbstractTreeViewer.remove() fails to remove plus sign,normal
28062,Text field in dialog doesn't get focus,normal
175957,Bring back the alt-shift-R keybinding for rename,normal
10152,Computing hierarchy of IResource is slow,normal
14045,Deadlock exiting workspace,normal
47451,The Software Update has a problem when it is configurated with HTTP proxy.,normal
